keyword,cluster,intent,stage,source,business_fit,buyer_intent,msv,kd,cpc_usd,target_url,status,priority_score,data_confidence
custom food box samples,sampling,commercial,bottom,buyer question,5,5,,,,,candidate,90,needs_keyword_data
custom food packaging manufacturer china,core commercial,commercial,bottom,commercial modifier,5,5,,,,,candidate,90,needs_keyword_data
custom food packaging price,pricing,commercial,bottom,buyer question,5,5,,,,,candidate,90,needs_keyword_data
custom food packaging wholesale,core commercial,commercial,bottom,commercial modifier,5,5,,,,,candidate,90,needs_keyword_data
custom packaging lead time,production,commercial,bottom,buyer question,5,5,,,,,candidate,90,needs_keyword_data
food delivery packaging boxes,restaurant,commercial,bottom,use case,5,5,,,,,candidate,90,needs_keyword_data
food packaging manufacturer,core commercial,commercial,bottom,commercial modifier,5,5,,,,,candidate,90,needs_keyword_data
how much do custom food boxes cost,pricing,commercial,bottom,paa,5,5,,,,,candidate,90,needs_keyword_data
kraft food boxes custom,materials,commercial,bottom,product feature,5,5,,,,,candidate,90,needs_keyword_data
low moq custom food packaging,core commercial,commercial,bottom,buyer question,5,5,,,,,candidate,90,needs_keyword_data
restaurant takeaway packaging,restaurant,commercial,bottom,use case,5,5,,,,,candidate,90,needs_keyword_data
food packaging for startups,startups,commercial,middle,use case,5,4,,,,,candidate,84,needs_keyword_data
grease resistant food boxes,materials,commercial,middle,product feature,5,4,,,,,candidate,84,needs_keyword_data
recyclable food packaging boxes,sustainability,commercial,middle,buyer question,4,4,,,,,candidate,78,needs_keyword_data
burger boxes wholesale,burger,commercial,bottom,commercial modifier,5,5,,,,/burger-boxes,published,74,needs_keyword_data
cake box manufacturer,bakery,commercial,bottom,commercial modifier,5,5,,,,/bakery-cake-boxes,published,74,needs_keyword_data
catering packaging supplier,catering,commercial,bottom,commercial modifier,5,5,,,,/grazing-catering-boxes,published,74,needs_keyword_data
custom bakery packaging,bakery,commercial,bottom,use case,5,5,,,,/bakery-cake-boxes,published,74,needs_keyword_data
custom burger boxes,burger,commercial,bottom,product,5,5,,,,/burger-boxes,published,74,needs_keyword_data
custom cake boxes,bakery,commercial,bottom,product,5,5,,,,/bakery-cake-boxes,published,74,needs_keyword_data
custom catering boxes,catering,commercial,bottom,product,5,5,,,,/grazing-catering-boxes,published,74,needs_keyword_data
custom food boxes,core commercial,commercial,bottom,product,5,5,,,,/products,published,74,needs_keyword_data
custom food packaging,core commercial,commercial,bottom,product,5,5,,,,/custom-food-packaging,published,74,needs_keyword_data
custom grazing boxes,catering,commercial,bottom,product,5,5,,,,/grazing-catering-boxes,published,74,needs_keyword_data
custom mailer boxes,shipping,commercial,bottom,product,5,5,,,,/mailer-shipping-boxes,published,74,needs_keyword_data
custom packaging quote,pricing,transactional,bottom,buyer question,5,5,,,,/get-a-quote,published,74,needs_keyword_data
custom paper bags,paper bags,commercial,bottom,product,5,5,,,,/custom-paper-bags,published,74,needs_keyword_data
custom pizza boxes,pizza,commercial,bottom,product,5,5,,,,/pizza-boxes,published,74,needs_keyword_data
custom shipping boxes,shipping,commercial,bottom,product,5,5,,,,/mailer-shipping-boxes,published,74,needs_keyword_data
custom sushi boxes,sushi,commercial,bottom,product,5,5,,,,/sushi-boxes,published,74,needs_keyword_data
custom takeaway boxes,takeaway,commercial,bottom,product,5,5,,,,/takeaway-food-boxes,published,74,needs_keyword_data
pizza box manufacturer,pizza,commercial,bottom,commercial modifier,5,5,,,,/pizza-boxes,published,74,needs_keyword_data
printed burger boxes,burger,commercial,bottom,product variation,5,5,,,,/burger-boxes,published,74,needs_keyword_data
printed paper bags wholesale,paper bags,commercial,bottom,commercial modifier,5,5,,,,/custom-paper-bags,published,74,needs_keyword_data
printed pizza boxes,pizza,commercial,bottom,product variation,5,5,,,,/pizza-boxes,published,74,needs_keyword_data
sushi takeaway packaging,sushi,commercial,bottom,use case,5,5,,,,/sushi-boxes,published,74,needs_keyword_data
takeaway food packaging manufacturer,takeaway,commercial,bottom,commercial modifier,5,5,,,,/takeaway-food-boxes,published,74,needs_keyword_data
custom packaging dieline template,artwork,informational,middle,buyer question,4,3,,,,,candidate,72,needs_keyword_data
food safe packaging materials,materials,informational,middle,buyer question,4,3,,,,,candidate,72,needs_keyword_data
how to prepare artwork for packaging,artwork,informational,middle,paa,4,3,,,,,candidate,72,needs_keyword_data
